criterion,max_depth,splitter,Accuracy
gini,5000,best,0.8656823794522384
gini,5000,random,0.8227616821600765
gini,10000,best,0.8656823794522384
gini,10000,random,0.8227616821600765
gini,20000,best,0.8656823794522384
gini,20000,random,0.8227616821600765
gini,30000,best,0.8656823794522384
gini,30000,random,0.8227616821600765
entropy,5000,best,0.8827354538577058
entropy,5000,random,0.8272482381387907
entropy,10000,best,0.8827354538577058
entropy,10000,random,0.8272482381387907
entropy,20000,best,0.8827354538577058
entropy,20000,random,0.8272482381387907
entropy,30000,best,0.8827354538577058
entropy,30000,random,0.8272482381387907
