criterion,max_features,n_estimators,Accuracy
gini,sqrt,100,0.8920731166352928
gini,sqrt,200,0.8927930238522697
gini,sqrt,300,0.8958450884842266
gini,sqrt,400,0.8969224490717664
gini,sqrt,500,0.8969226103774393
gini,sqrt,600,0.8963840107365056
gini,sqrt,700,0.8972816768047283
gini,sqrt,800,0.8976407432320173
gini,sqrt,900,0.8974612100183726
gini,sqrt,1000,0.8985384093002399
gini,sqrt,1100,0.8971021435910836
gini,sqrt,1200,0.8979998096593063
gini,sqrt,1300,0.8983590373922679
gini,sqrt,1400,0.8972818381104009
gini,log2,100,0.8942331608975692
gini,log2,200,0.8960281704226694
gini,log2,300,0.8967466258885926
gini,log2,400,0.8967466258885926
gini,log2,500,0.896926159102237
gini,log2,600,0.898901024452327
gini,log2,700,0.8980033583841042
gini,log2,800,0.898541958025038
gini,log2,900,0.8965670926749482
gini,log2,1000,0.8960284930340144
gini,log2,1100,0.8958487985146973
gini,log2,1200,0.8963875594613036
gini,log2,1300,0.8965669313692753
gini,log2,1400,0.8971056923158816
gini,,100,0.8683776359363231
gini,,200,0.8683774746306503
gini,,300,0.8680184082033613
gini,,400,0.8683776359363231
gini,,500,0.8683776359363231
gini,,600,0.8685571691499675
gini,,700,0.8685571691499675
gini,,800,0.8685571691499675
gini,,900,0.8685571691499675
gini,,1000,0.8685571691499675
gini,,1100,0.8685571691499675
gini,,1200,0.8685571691499675
gini,,1300,0.8685571691499675
gini,,1400,0.8685571691499675
entropy,sqrt,100,0.8879462723065583
entropy,sqrt,200,0.8875873671849419
entropy,sqrt,300,0.8947686957307228
entropy,sqrt,400,0.8936914964488558
entropy,sqrt,500,0.897641227149035
entropy,sqrt,600,0.8958458950125898
entropy,sqrt,700,0.8972821607217462
entropy,sqrt,800,0.897641227149035
entropy,sqrt,900,0.8983593600036134
entropy,sqrt,1000,0.9003342253537031
entropy,sqrt,1100,0.9001546921400585
entropy,sqrt,1200,0.899975158926414
entropy,sqrt,1300,0.8997956257127694
entropy,sqrt,1400,0.8988979596445468
entropy,log2,100,0.8816643841913988
entropy,log2,200,0.8865129100995095
entropy,log2,300,0.8895636842860852
entropy,log2,400,0.8888455514315072
entropy,log2,500,0.8917180828498195
entropy,log2,600,0.8897432174997298
entropy,log2,700,0.8901022839270188
entropy,log2,800,0.8902818171406635
entropy,log2,900,0.8897432174997297
entropy,log2,1000,0.8890250846451517
entropy,log2,1100,0.8886660182178627
entropy,log2,1200,0.8886660182178627
entropy,log2,1300,0.8883069517905737
entropy,log2,1400,0.8877683521496401
entropy,,100,0.9026689636594449
entropy,,200,0.9021303640185113
entropy,,300,0.9021302027128387
entropy,,400,0.9014120698582607
entropy,,500,0.9021302027128387
entropy,,600,0.9023097359264833
entropy,,700,0.9023097359264833
entropy,,800,0.9023097359264833
entropy,,900,0.901770974979877
entropy,,1000,0.901770974979877
entropy,,1100,0.901770974979877
entropy,,1200,0.9023097359264833
entropy,,1300,0.902130041407166
entropy,,1400,0.902130041407166
