criterion,max_depth,splitter,Accuracy
gini,5000,best,0.41495312130080586
gini,5000,random,0.393409370912536
gini,10000,best,0.41495312130080586
gini,10000,random,0.393409370912536
gini,20000,best,0.41495312130080586
gini,20000,random,0.393409370912536
gini,30000,best,0.41495312130080586
gini,30000,random,0.393409370912536
entropy,5000,best,0.3937509997822044
entropy,5000,random,0.3916741701797579
entropy,10000,best,0.3937509997822044
entropy,10000,random,0.3916741701797579
entropy,20000,best,0.3937509997822044
entropy,20000,random,0.3916741701797579
entropy,30000,best,0.3937509997822044
entropy,30000,random,0.3916741701797579
