algorithm,n_neighbors,weights,Accuracy
ball_tree,1,uniform,0.5098547924418192
ball_tree,1,distance,0.5098547924418192
ball_tree,2,uniform,0.49328751378847785
ball_tree,2,distance,0.5098547924418192
ball_tree,3,uniform,0.5019141346804783
ball_tree,3,distance,0.5071699717602671
ball_tree,4,uniform,0.4934304647628377
ball_tree,4,distance,0.5058558574547293
ball_tree,5,uniform,0.500514677362164
ball_tree,5,distance,0.5049706450308789
kd_tree,1,uniform,0.5098547924418192
kd_tree,1,distance,0.5098547924418192
kd_tree,2,uniform,0.49328751378847785
kd_tree,2,distance,0.5098547924418192
kd_tree,3,uniform,0.5019141346804783
kd_tree,3,distance,0.5071699717602671
kd_tree,4,uniform,0.4934304647628377
kd_tree,4,distance,0.5058558574547293
kd_tree,5,uniform,0.500514677362164
kd_tree,5,distance,0.5049706450308789
brute,1,uniform,0.5098547924418192
brute,1,distance,0.5098547924418192
brute,2,uniform,0.49328751378847785
brute,2,distance,0.5098547924418192
brute,3,uniform,0.5019141346804783
brute,3,distance,0.5071699717602671
brute,4,uniform,0.4934304647628377
brute,4,distance,0.5058558574547293
brute,5,uniform,0.500514677362164
brute,5,distance,0.5049706450308789
