activation,hidden_layer_sizes,solver,Accuracy
relu,"(5,)",lbfgs,0.20145849341660377
relu,"(5,)",sgd,
relu,"(5,)",adam,0.1893033408256421
relu,"(10,)",lbfgs,0.1825882831478777
relu,"(10,)",sgd,
relu,"(10,)",adam,0.20922697224681547
relu,"(15,)",lbfgs,0.1449964803616654
relu,"(15,)",sgd,
relu,"(15,)",adam,0.29661987557707936
relu,"(50,)",lbfgs,0.20697395014060332
relu,"(50,)",sgd,
relu,"(50,)",adam,0.3166589977887551
relu,"(100,)",lbfgs,0.18899451493665503
relu,"(100,)",sgd,
relu,"(100,)",adam,0.3035949151006213
relu,"(500,)",lbfgs,0.26401041223303334
relu,"(500,)",sgd,
relu,"(500,)",adam,0.3766489876149714
relu,"(5, 2)",lbfgs,0.20566799058416763
relu,"(5, 2)",sgd,0.1998918595070206
relu,"(5, 2)",adam,0.215799745983437
relu,"(10, 2)",lbfgs,0.18486935787719844
relu,"(10, 2)",sgd,0.20068870465403021
relu,"(10, 2)",adam,0.2012863587630409
relu,"(15, 2)",lbfgs,0.21272268465425537
relu,"(15, 2)",sgd,0.20097328063581732
relu,"(15, 2)",adam,0.20103019583217474
relu,"(50, 2)",lbfgs,0.19898123661405526
relu,"(50, 2)",sgd,0.20097328063581732
relu,"(50, 2)",adam,0.20077404910031144
relu,"(100, 2)",lbfgs,0.1646328872640929
relu,"(100, 2)",sgd,0.20060333185949406
relu,"(100, 2)",adam,0.20068870465403021
relu,"(500, 2)",lbfgs,0.20097328063581732
relu,"(500, 2)",sgd,0.20097328063581732
relu,"(500, 2)",adam,0.200119524342201
relu,"(5, 3)",lbfgs,0.1749308403823969
relu,"(5, 3)",sgd,0.19858280999079977
relu,"(5, 3)",adam,0.13802147728587977
relu,"(10, 3)",lbfgs,0.2007455024076173
relu,"(10, 3)",sgd,0.20097328063581732
relu,"(10, 3)",adam,0.20071713390395401
relu,"(15, 3)",lbfgs,0.17604304366627493
relu,"(15, 3)",sgd,0.20097328063581732
relu,"(15, 3)",adam,0.20034724587389124
relu,"(50, 3)",lbfgs,0.2095942765359307
relu,"(50, 3)",sgd,0.20097328063581732
relu,"(50, 3)",adam,0.20097328063581732
relu,"(100, 3)",lbfgs,0.20993797887795823
relu,"(100, 3)",sgd,0.20097328063581732
relu,"(100, 3)",adam,0.20074561985038764
relu,"(500, 5)",lbfgs,0.20097328063581732
relu,"(500, 5)",sgd,0.19983494026091247
relu,"(500, 5)",adam,0.20097328063581732
logistic,"(5,)",lbfgs,0.3090860895194153
logistic,"(5,)",sgd,0.18691252190206425
logistic,"(5,)",adam,0.2861492694371227
logistic,"(10,)",lbfgs,0.25139816428040507
logistic,"(10,)",sgd,0.1364856417303807
logistic,"(10,)",adam,0.2944307463876831
logistic,"(15,)",lbfgs,0.29118828514035505
logistic,"(15,)",sgd,0.13534739854949268
logistic,"(15,)",adam,0.26833455379320303
logistic,"(50,)",lbfgs,0.2765577791296746
logistic,"(50,)",sgd,0.15945219103257222
logistic,"(50,)",adam,0.274794918599606
logistic,"(100,)",lbfgs,0.2771558058157498
logistic,"(100,)",sgd,0.19661747407491342
logistic,"(100,)",adam,0.24508476492695586
logistic,"(500,)",lbfgs,0.2945456864120902
logistic,"(500,)",sgd,0.2081715829155273
logistic,"(500,)",adam,0.28617892576150905
logistic,"(5, 2)",lbfgs,0.266771309524957
logistic,"(5, 2)",sgd,0.16987052299047525
logistic,"(5, 2)",adam,0.30370984702552695
logistic,"(10, 2)",lbfgs,0.29235490897415845
logistic,"(10, 2)",sgd,0.15324674183381942
logistic,"(10, 2)",adam,0.26821934648524975
logistic,"(15, 2)",lbfgs,0.3008665332570792
logistic,"(15, 2)",sgd,0.12382242361542464
logistic,"(15, 2)",adam,0.273824602381302
logistic,"(50, 2)",lbfgs,0.2948563387386436
logistic,"(50, 2)",sgd,0.20617842116257162
logistic,"(50, 2)",adam,0.28629058143809727
logistic,"(100, 2)",lbfgs,0.30077668548801806
logistic,"(100, 2)",sgd,0.18264389837425998
logistic,"(100, 2)",adam,0.2664285386255908
logistic,"(500, 2)",lbfgs,0.30917363298032735
logistic,"(500, 2)",sgd,0.19064411203910697
logistic,"(500, 2)",adam,0.2739663477056016
logistic,"(5, 3)",lbfgs,0.2856365224013175
logistic,"(5, 3)",sgd,0.1366558811006153
logistic,"(5, 3)",adam,0.269699003899019
logistic,"(10, 3)",lbfgs,0.3455984029079154
logistic,"(10, 3)",sgd,0.1468438915868778
logistic,"(10, 3)",adam,0.2787777552701633
logistic,"(15, 3)",lbfgs,0.3095142534620711
logistic,"(15, 3)",sgd,0.14596186803336572
logistic,"(15, 3)",adam,0.2469889901047581
logistic,"(50, 3)",lbfgs,0.30481781427017135
logistic,"(50, 3)",sgd,0.16861423362639222
logistic,"(50, 3)",adam,0.26380921656843725
logistic,"(100, 3)",lbfgs,0.3358909803871384
logistic,"(100, 3)",sgd,0.1619273095667504
logistic,"(100, 3)",adam,0.27382741695803947
logistic,"(500, 5)",lbfgs,0.28953323302370826
logistic,"(500, 5)",sgd,0.2094237010363879
logistic,"(500, 5)",adam,0.28774337685546414
tanh,"(5,)",lbfgs,0.23583527201648993
tanh,"(5,)",sgd,0.15634882657258503
tanh,"(5,)",adam,0.2941446274508787
tanh,"(10,)",lbfgs,0.2897913641334153
tanh,"(10,)",sgd,0.14305966279021828
tanh,"(10,)",adam,0.23668787008140563
tanh,"(15,)",lbfgs,0.2907323318083862
tanh,"(15,)",sgd,0.12786154372123004
tanh,"(15,)",adam,0.2612204782285807
tanh,"(50,)",lbfgs,0.26651291923120507
tanh,"(50,)",sgd,0.18557727859830675
tanh,"(50,)",adam,0.2506901058677729
tanh,"(100,)",lbfgs,0.26662633654934836
tanh,"(100,)",sgd,0.1693557429798179
tanh,"(100,)",adam,0.25108854869003117
tanh,"(500,)",lbfgs,0.2892508317580478
tanh,"(500,)",sgd,0.18301549134936804
tanh,"(500,)",adam,0.25544286899242763
tanh,"(5, 2)",lbfgs,0.18420941455264955
tanh,"(5, 2)",sgd,0.1877953999529743
tanh,"(5, 2)",adam,0.2700443868875876
tanh,"(10, 2)",lbfgs,0.2431188944439769
tanh,"(10, 2)",sgd,0.12584253645929808
tanh,"(10, 2)",adam,0.17052077121184497
tanh,"(15, 2)",lbfgs,0.17154989790983458
tanh,"(15, 2)",sgd,0.17860274124385178
tanh,"(15, 2)",adam,0.2548713398251917
tanh,"(50, 2)",lbfgs,0.3080934510752452
tanh,"(50, 2)",sgd,0.19983353904716977
tanh,"(50, 2)",adam,0.2681068363112635
tanh,"(100, 2)",lbfgs,0.28828439520091587
tanh,"(100, 2)",sgd,0.1837273929754158
tanh,"(100, 2)",adam,0.2994962758087575
tanh,"(500, 2)",lbfgs,0.2901593123328921
tanh,"(500, 2)",sgd,0.20117273490761184
tanh,"(500, 2)",adam,0.30137551402473217
tanh,"(5, 3)",lbfgs,0.16150110165368328
tanh,"(5, 3)",sgd,0.1662811317498106
tanh,"(5, 3)",adam,0.22723752573515324
tanh,"(10, 3)",lbfgs,0.27888975112581044
tanh,"(10, 3)",sgd,0.14610402643223686
tanh,"(10, 3)",adam,0.21084825754211395
tanh,"(15, 3)",lbfgs,0.2601651172455475
tanh,"(15, 3)",sgd,0.131192568966647
tanh,"(15, 3)",adam,0.2695290804093391
tanh,"(50, 3)",lbfgs,0.3013193115844982
tanh,"(50, 3)",sgd,0.19277739516633094
tanh,"(50, 3)",adam,0.2595715088374875
tanh,"(100, 3)",lbfgs,0.3197310293275656
tanh,"(100, 3)",sgd,0.18403884310285742
tanh,"(100, 3)",adam,0.2277517023329561
tanh,"(500, 5)",lbfgs,0.29895476339372024
tanh,"(500, 5)",sgd,0.19761571737405415
tanh,"(500, 5)",adam,0.2552710866671758
