time;TSrock;TSrasp;offset;device
875;2337011095912707;16802233998798;-2320208861913909;192.168.1.111
1001249063;2337012097160895;16803234461103;-2320208862699792;192.168.1.111
2001531838;2337013097443670;16804234742387;-2320208862701283;192.168.1.111
3001805863;2337014097717695;16805235017371;-2320208862700324;192.168.1.111
4002076971;2337015097988803;16806235266440;-2320208862722363;192.168.1.111
5002326496;2337016098238328;16807235518669;-2320208862719659;192.168.1.111
6002576313;2337017098488145;16808235774486;-2320208862713659;192.168.1.111
7002830504;2337018098742336;16809236028334;-2320208862714002;192.168.1.111
8003080321;2337019098992153;16810236281640;-2320208862710513;192.168.1.111
9003327512;2337020099239344;16811236534366;-2320208862704978;192.168.1.111
10003579662;2337021099491494;16812236788307;-2320208862703187;192.168.1.111
11003830937;2337022099742769;16813237039485;-2320208862703284;192.168.1.111
12004079004;2337023099990836;16814237298268;-2320208862692568;192.168.1.111
13004334946;2337024100246778;16815237549525;-2320208862697253;192.168.1.111
14004583012;2337025100494844;16816237796611;-2320208862698233;192.168.1.111
15004827871;2337026100739703;16817238048840;-2320208862690863;192.168.1.111
16005075645;2337027100987477;16818238299897;-2320208862687580;192.168.1.111
17005329837;2337028101241669;16819238565447;-2320208862676222;192.168.1.111
18005601528;2337029101513360;16820238837788;-2320208862675572;192.168.1.111
19005860387;2337030101772219;16821239091754;-2320208862680465;192.168.1.111
20006106411;2337031102018243;16822239339861;-2320208862678382;192.168.1.111
21006352437;2337032102264269;16823239587076;-2320208862677193;192.168.1.111
22006592045;2337033102503877;16824239830302;-2320208862673575;192.168.1.111
23006835736;2337034102747568;16825240090636;-2320208862656932;192.168.1.111
24007092845;2337035103004677;16826240339925;-2320208862664752;192.168.1.111
25007338287;2337036103250119;16827240588432;-2320208862661687;192.168.1.111
26007584603;2337037103496435;16828240835786;-2320208862660649;192.168.1.111
27007828878;2337038103740710;16829241085022;-2320208862655688;192.168.1.111
28008076653;2337039103988485;16830241360125;-2320208862628360;192.168.1.111
29008362636;2337040104274468;16831241622423;-2320208862652045;192.168.1.111
30008607494;2337041104519326;16832241871828;-2320208862647498;192.168.1.111
31008854103;2337042104765935;16833242140651;-2320208862625284;192.168.1.111
32009132211;2337043105044043;16834242402118;-2320208862641925;192.168.1.111
33009379694;2337044105291526;16835242654323;-2320208862637203;192.168.1.111
34009628636;2337045105540468;16836242902261;-2320208862638207;192.168.1.111
35009874369;2337046105786201;16837243157583;-2320208862628618;192.168.1.111
36010125935;2337047106037767;16838243408141;-2320208862629626;192.168.1.111
37010373127;2337048106284959;16839243658583;-2320208862626376;192.168.1.111
38010622652;2337049106534484;16840243906498;-2320208862627986;192.168.1.111
39010866635;2337050106778467;16841244156021;-2320208862622446;192.168.1.111
40011112952;2337051107024784;16842244404444;-2320208862620340;192.168.1.111
41011359268;2337052107271100;16843244655401;-2320208862615699;192.168.1.111
42011607627;2337053107519459;16844244906000;-2320208862613459;192.168.1.111
43011853943;2337054107765775;16845245155854;-2320208862609921;192.168.1.111
44012102010;2337055108013842;16846245407221;-2320208862606621;192.168.1.111
45012350368;2337056108262200;16847245657451;-2320208862604749;192.168.1.111
46012597560;2337057108509392;16848245904714;-2320208862604678;192.168.1.111
47012842710;2337058108754542;16849246152360;-2320208862602182;192.168.1.111
48013087860;2337059108999692;16850246402355;-2320208862597337;192.168.1.111
49013332135;2337060109243967;16851246656472;-2320208862587495;192.168.1.111
50013584576;2337061109496408;16852246906120;-2320208862590288;192.168.1.111
51013833518;2337062109745350;16853247158006;-2320208862587344;192.168.1.111
52014083335;2337063109995167;16854247412812;-2320208862582355;192.168.1.111
53014335484;2337064110247316;16855247661891;-2320208862585425;192.168.1.111
54014578009;2337065110489841;16856247908520;-2320208862581321;192.168.1.111
55014979784;2337066110891616;16857248318770;-2320208862572846;192.168.1.111
56015237184;2337067111149016;16858248575721;-2320208862573295;192.168.1.111
57015487000;2337068111398832;16859248827166;-2320208862571666;192.168.1.111
58015732734;2337069111644566;16860249076365;-2320208862568201;192.168.1.111
59015981092;2337070111892924;16861249323746;-2320208862569178;192.168.1.111
60016225658;2337071112137490;16862249575101;-2320208862562389;192.168.1.111
61016477225;2337072112389057;16863249844065;-2320208862544992;192.168.1.111
62016753875;2337073112665707;16864250110077;-2320208862555630;192.168.1.111
63017004275;2337074112916107;16865250361529;-2320208862554578;192.168.1.111
64017252341;2337075113164173;16866250611642;-2320208862552531;192.168.1.111
65017499533;2337076113411365;16867250860121;-2320208862551244;192.168.1.111
66017742641;2337077113654473;16868251104650;-2320208862549823;192.168.1.111
67017995958;2337078113907790;16869251374507;-2320208862533283;192.168.1.111
68018267941;2337079114179773;16870251639008;-2320208862540765;192.168.1.111
69018516883;2337080114428715;16871251886948;-2320208862541767;192.168.1.111
70018761449;2337081114673281;16872252136974;-2320208862536307;192.168.1.111
71019007183;2337082114919015;16873252385183;-2320208862533832;192.168.1.111
72019254666;2337083115166498;16874252636422;-2320208862530076;192.168.1.111
73019503024;2337084115414856;16875252881823;-2320208862533033;192.168.1.111
74019744383;2337085115656215;16876253128332;-2320208862527883;192.168.1.111
75019988366;2337086115900198;16877253387075;-2320208862513123;192.168.1.111
76020247516;2337087116159348;16878253638850;-2320208862520498;192.168.1.111
77020495291;2337088116407123;16879253889232;-2320208862517891;192.168.1.111
78020742191;2337089116654023;16880254143905;-2320208862510118;192.168.1.111
79020996091;2337090116907923;16881254394332;-2320208862513591;192.168.1.111
80021243865;2337091117155697;16882254642217;-2320208862513480;192.168.1.111
81021486974;2337092117398806;16883254892097;-2320208862506709;192.168.1.111
82021735040;2337093117646872;16884255142250;-2320208862504622;192.168.1.111
83021983982;2337094117895814;16885255392729;-2320208862503085;192.168.1.111
84022231757;2337095118143589;16886255639706;-2320208862503883;192.168.1.111
85022477490;2337096118389322;16887255894065;-2320208862495257;192.168.1.111
86022729057;2337097118640889;16888256145735;-2320208862495154;192.168.1.111
