time;TSrock;TSrasp;offset;device
583;23242939299655;23243919195924;979896269;192.168.1.154
1001278710;23243940577782;23244919739861;979162079;192.168.1.154
2001608048;23244940907120;23245920048225;979141105;192.168.1.154
3001904719;23245941203791;23246920359440;979155649;192.168.1.154
4002220933;23246941520005;23247920682634;979162629;192.168.1.154
5002549396;23247941848468;23248921002234;979153766;192.168.1.154
6002845775;23248942144847;23249921304590;979159743;192.168.1.154
7003158197;23249942457269;23250921630742;979173473;192.168.1.154
8003475868;23250942774940;23251921955148;979180208;192.168.1.154
9003791207;23251943090279;23252922274093;979183814;192.168.1.154
10004104212;23252943403284;23253922590329;979187045;192.168.1.154
11004420133;23253943719205;23254922923768;979204563;192.168.1.154
12004764346;23254944063418;23255923265596;979202178;192.168.1.154
13005090184;23255944389256;23256923597030;979207774;192.168.1.154
14005418064;23256944717136;23257923927796;979210660;192.168.1.154
15005722319;23257945021391;23258924237356;979215965;192.168.1.154
16006025699;23258945324771;23259924545656;979220885;192.168.1.154
17006328787;23259945627859;23260924859529;979231670;192.168.1.154
18006640625;23260945939697;23261925168879;979229182;192.168.1.154
19006938463;23261946237535;23262925471839;979234304;192.168.1.154
20007237177;23262946536249;23263925775353;979239104;192.168.1.154
21007535598;23263946834670;23264926079809;979245139;192.168.1.154
22007834603;23264947133675;23265926383504;979249829;192.168.1.154
23008131275;23265947430347;23266926685900;979255553;192.168.1.154
24008427072;23266947726144;23267926982220;979256076;192.168.1.154
25008724326;23267948023398;23268927287836;979264438;192.168.1.154
26009023331;23268948322403;23269927591725;979269322;192.168.1.154
27009320295;23269948619367;23270927890280;979270913;192.168.1.154
28009615799;23270948914871;23271928191815;979276944;192.168.1.154
29009909554;23271949208626;23272928492477;979283851;192.168.1.154
30010202434;23272949501506;23273928788602;979287096;192.168.1.154
31010493856;23273949792928;23274929085111;979292183;192.168.1.154
32010785861;23274950084933;23275929380842;979295909;192.168.1.154
33011076991;23275950376063;23276929691570;979315507;192.168.1.154
34011384454;23276950683526;23277930016982;979333456;192.168.1.154
35011706792;23277951005864;23278930323577;979317713;192.168.1.154
36012004339;23278951303411;23279930625910;979322499;192.168.1.154
37012300427;23279951599499;23280930926298;979326799;192.168.1.154
38012597390;23280951896462;23281931240945;979344483;192.168.1.154
39012922062;23281952221134;23282931560122;979338988;192.168.1.154
40013221942;23282952521014;23283931862470;979341456;192.168.1.154
41013520655;23283952819727;23284932167533;979347806;192.168.1.154
42013817618;23284953116690;23285932470059;979353369;192.168.1.154
43014116039;23285953415111;23286932772491;979357380;192.168.1.154
44014412420;23286953711492;23287933075254;979363762;192.168.1.154
45014728924;23287954027996;23288933395849;979367853;192.168.1.154
46015027346;23288954326418;23289933699126;979372708;192.168.1.154
47015340934;23289954640006;23290934019179;979379173;192.168.1.154
48015639064;23290954938136;23291934320990;979382854;192.168.1.154
49015950027;23291955249099;23292934636188;979387089;192.168.1.154
50016247574;23292955546646;23293934937254;979390608;192.168.1.154
51016542496;23293955841568;23294935240041;979398473;192.168.1.154
52016842084;23294956141156;23295935611158;979470002;192.168.1.154
53017250755;23295956549827;23296936000032;979450205;192.168.1.154
54017620051;23296956919123;23297936372590;979453467;192.168.1.154
55017998973;23297957298045;23298936714461;979416416;192.168.1.154
56018295353;23298957594425;23299937060349;979465924;192.168.1.154
57018661149;23299957960221;23300937390179;979429958;192.168.1.154
58018961321;23300958260393;23301937694732;979434339;192.168.1.154
59019283950;23301958583022;23302938036354;979453332;192.168.1.154
60019601622;23302958900694;23303938346607;979445913;192.168.1.154
61019900627;23303959199699;23304938674039;979474340;192.168.1.154
62020218590;23304959517662;23305938975992;979458330;192.168.1.154
63020655553;23305959954625;23306939418496;979463871;192.168.1.154
64020989849;23306960288921;23307939760665;979471744;192.168.1.154
65021318896;23307960617968;23308940087352;979469384;192.168.1.154
66021619067;23308960918139;23309940392460;979474321;192.168.1.154
67021939072;23309961238144;23310940720033;979481889;192.168.1.154
68022242744;23310961541816;23311941030380;979488564;192.168.1.154
69022568290;23311961867362;23312941359876;979492514;192.168.1.154
70022888878;23312962187950;23313941684849;979496899;192.168.1.154
71023209175;23313962508247;23314942010728;979502481;192.168.1.154
72023528596;23314962827668;23315942334142;979506474;192.168.1.154
73023843351;23315963142423;23316942665166;979522743;192.168.1.154
74024167439;23316963466511;23317942983039;979516528;192.168.1.154
75024486277;23317963785349;23318943307967;979522618;192.168.1.154
76024806574;23318964105646;23319943631447;979525801;192.168.1.154
77025127162;23319964426234;23320943956982;979530748;192.168.1.154
78025442792;23320964741864;23321944276552;979534688;192.168.1.154
79025755797;23321965054869;23322944592880;979538011;192.168.1.154
80026058302;23322965357374;23323944898965;979541591;192.168.1.154
81026354973;23323965654045;23324945205882;979551837;192.168.1.154
82026657770;23324965956842;23325945519408;979562566;192.168.1.154
83026971358;23325966270430;23326945827804;979557374;192.168.1.154
84027271238;23326966570310;23327946137473;979567163;192.168.1.154
85027575201;23327966874273;23328946456086;979581813;192.168.1.154
86027887623;23328967186695;23329946762161;979575466;192.168.1.154
87028204711;23329967503783;23330947085086;979581303;192.168.1.154
88028526757;23330967825829;23331947418250;979592421;192.168.1.154
89028859304;23331968158376;23332947754060;979595684;192.168.1.154
90029188059;23332968487131;23333948082795;979595664;192.168.1.154
91029492022;23333968791094;23334948392712;979601618;192.168.1.154
92029793944;23334969093016;23335948698202;979605186;192.168.1.154
93030113365;23335969412437;23336949023357;979610920;192.168.1.154
94030414412;23336969713484;23337949340381;979626897;192.168.1.154
95030747541;23337970046613;23338949668920;979622307;192.168.1.154
96031069880;23338970368952;23339949994423;979625471;192.168.1.154
97031402718;23339970701790;23340950333367;979631577;192.168.1.154
98031721848;23340971020920;23341950659383;979638463;192.168.1.154
99032039519;23341971338591;23342950980769;979642178;192.168.1.154
100032341732;23342971640804;23343951287449;979646645;192.168.1.154
101032647154;23343971946226;23344951598034;979651808;192.168.1.154
102032969492;23344972268564;23345951926988;979658424;192.168.1.154
103033278414;23345972577486;23346952238200;979660714;192.168.1.154
104033583252;23346972882324;23347952543780;979661456;192.168.1.154
105033882840;23347973181912;23348952848989;979667077;192.168.1.154
106034181262;23348973480334;23349953152343;979672009;192.168.1.154
107034481433;23349973780505;23350953459992;979679487;192.168.1.154
108034793563;23350974092635;23351953777992;979685357;192.168.1.154
109035103943;23351974403015;23352954091175;979688160;192.168.1.154
110035417823;23352974716895;23353954408542;979691647;192.168.1.154
111035730244;23353975029316;23354954742369;979713053;192.168.1.154
112036056374;23354975355446;23355955061825;979706379;192.168.1.154
113036376087;23355975675159;23356955388004;979712845;192.168.1.154
114036696092;23356975995164;23357955732140;979736976;192.168.1.154
115037034764;23357976333836;23358956054868;979721032;192.168.1.154
116037352143;23358976651215;23359956377447;979726232;192.168.1.154
117037652315;23359976951387;23360956683376;979731989;192.168.1.154
118037966486;23360977265558;23361957003064;979737506;192.168.1.154
119038285616;23361977584688;23362957328841;979744153;192.168.1.154
120038592788;23362977891860;23363957642025;979750165;192.168.1.154
121038909876;23363978208948;23364957972911;979763963;192.168.1.154
122039247964;23364978547036;23365958304090;979757054;192.168.1.154
123039550761;23365978849833;23366958612843;979763010;192.168.1.154
124039855307;23366979154379;23367958918594;979764215;192.168.1.154
125040268354;23367979567426;23368959341397;979773971;192.168.1.154
126040575525;23368979874597;23369959652812;979778215;192.168.1.154
127040884155;23369980183227;23370959965206;979781979;192.168.1.154
128041190451;23370980489523;23371960275098;979785575;192.168.1.154
129041491207;23371980790279;23372960581100;979790821;192.168.1.154
130041792253;23372981091325;23373960887359;979796034;192.168.1.154
131042111091;23373981410163;23374961208692;979798529;192.168.1.154
132042412429;23374981711501;23375961514263;979802762;192.168.1.154
133042727768;23375982026840;23376961835906;979809066;192.168.1.154
134043041939;23376982341011;23377962152733;979811722;192.168.1.154
135043356111;23377982655183;23378962470968;979815785;192.168.1.154
136043667657;23378982966729;23379962787438;979820709;192.168.1.154
137043965495;23379983264567;23380963093002;979828435;192.168.1.154
138044277625;23380983576697;23381963422342;979845645;192.168.1.154
139044602588;23381983901660;23382963742457;979840797;192.168.1.154
