time;TSrock;TSrasp;offset;device
0;119238112955863;104586763793255;-14651349162608;192.168.1.159
1001167013;119239114122876;104587764175798;-14651349947078;192.168.1.159
2001441237;119240114397100;104588764445044;-14651349952056;192.168.1.159
3001713128;119241114668991;104589764719439;-14651349949552;192.168.1.159
4001981810;119242114937673;104590764963112;-14651349974561;192.168.1.159
5002224535;119243115180398;104591765204062;-14651349976336;192.168.1.159
6002462884;119244115418747;104592765444086;-14651349974661;192.168.1.159
7002709400;119245115665263;104593765697165;-14651349968098;192.168.1.159
8002957082;119246115912945;104594765940948;-14651349971997;192.168.1.159
9003204765;119247116160628;104595766179026;-14651349981602;192.168.1.159
10003443405;119248116399268;104596766418605;-14651349980663;192.168.1.159
11003678838;119249116634701;104597766655444;-14651349979257;192.168.1.159
12003921271;119250116877134;104598766908985;-14651349968149;192.168.1.159
13004171287;119251117127150;104599767160247;-14651349966903;192.168.1.159
14004416344;119252117372207;104600767406973;-14651349965234;192.168.1.159
15004659359;119253117615222;104601767650551;-14651349964671;192.168.1.159
16004906750;119254117862613;104602767899165;-14651349963448;192.168.1.159
17005150350;119255118106213;104603768146501;-14651349959712;192.168.1.159
18005398616;119256118354479;104604768394207;-14651349960272;192.168.1.159
19005644840;119257118600703;104605768639931;-14651349960772;192.168.1.159
20005889606;119258118845469;104606768889099;-14651349956370;192.168.1.159
21006134080;119259119089943;104607769124712;-14651349965231;192.168.1.159
22006377971;119260119333834;104608769369047;-14651349964787;192.168.1.159
23006618945;119261119574808;104609769609956;-14651349964852;192.168.1.159
24006835711;119262119791574;104610769869252;-14651349922322;192.168.1.159
25007121894;119263120077757;104611770142531;-14651349935226;192.168.1.159
26007386493;119264120342356;104612770398994;-14651349943362;192.168.1.159
27007660717;119265120616580;104613770671734;-14651349944846;192.168.1.159
28007934941;119266120890804;104614770945771;-14651349945033;192.168.1.159
29008204498;119267121160361;104615771213862;-14651349946499;192.168.1.159
30008469389;119268121425252;104616771494417;-14651349930835;192.168.1.159
31008733697;119269121689560;104617771759416;-14651349930144;192.168.1.159
32009020171;119270121976034;104618772035062;-14651349940972;192.168.1.159
33009269312;119271122225175;104619772288226;-14651349936949;192.168.1.159
34009548203;119272122504066;104620772565780;-14651349938286;192.168.1.159
35009798218;119273122754081;104621772818684;-14651349935397;192.168.1.159
36010077984;119274123033847;104622773086053;-14651349947794;192.168.1.159
37010325375;119275123281238;104623773340402;-14651349940836;192.168.1.159
38010588807;119276123544670;104624773612733;-14651349931937;192.168.1.159
39010863907;119277123819770;104625773889488;-14651349930282;192.168.1.159
40011141922;119278124097785;104626774175911;-14651349921874;192.168.1.159
41011422855;119279124378718;104627774448796;-14651349929922;192.168.1.159
42011666745;119280124622608;104628774700569;-14651349922039;192.168.1.159
43011952928;119281124908791;104629774981991;-14651349926800;192.168.1.159
44012207610;119282125163473;104630775249504;-14651349913969;192.168.1.159
45012478918;119283125434781;104631775520907;-14651349913874;192.168.1.159
46012767433;119284125723296;104632775798642;-14651349924654;192.168.1.159
47013018908;119285125974771;104633776056989;-14651349917782;192.168.1.159
48013301007;119286126256870;104634776328278;-14651349928592;192.168.1.159
49013564148;119287126520011;104635776591440;-14651349928571;192.168.1.159
50013824372;119288126780235;104636776872174;-14651349908061;192.168.1.159
51014088388;119289127044251;104637777132705;-14651349911546;192.168.1.159
52014368737;119290127324600;104638777410496;-14651349914104;192.168.1.159
53014633628;119291127589491;104639777677025;-14651349912466;192.168.1.159
54014881601;119292127837464;104640777934927;-14651349902537;192.168.1.159
55015163992;119293128119855;104641778207585;-14651349912270;192.168.1.159
56015489841;119294128445704;104642778538448;-14651349907256;192.168.1.159
57015753274;119295128709137;104643778806885;-14651349902252;192.168.1.159
58016013207;119296128969070;104644779071154;-14651349897916;192.168.1.159
59016290347;119297129246210;104645779340200;-14651349906010;192.168.1.159
60016536863;119298129492726;104646779597154;-14651349895572;192.168.1.159
61016809921;119299129765784;104647779863998;-14651349901786;192.168.1.159
62017084728;119300130040591;104648780137230;-14651349903361;192.168.1.159
63017330661;119301130286524;104649780379870;-14651349906654;192.168.1.159
64017594385;119302130550248;104650780651989;-14651349898259;192.168.1.159
65017867442;119303130823305;104651780923479;-14651349899826;192.168.1.159
66018117167;119304131073030;104652781178507;-14651349894523;192.168.1.159
67018385265;119305131341128;104653781446330;-14651349894798;192.168.1.159
68018655698;119306131611561;104654781715115;-14651349896446;192.168.1.159
69018906297;119307131862160;104655781973846;-14651349888314;192.168.1.159
70019184605;119308132140468;104656782249428;-14651349891040;192.168.1.159
71019455037;119309132410900;104657782517286;-14651349893614;192.168.1.159
72019691345;119310132647208;104658782764275;-14651349882933;192.168.1.159
73019966152;119311132922015;104659783038893;-14651349883122;192.168.1.159
74020243876;119312133199739;104660783301084;-14651349898655;192.168.1.159
75020510809;119313133466672;104661783569462;-14651349897210;192.168.1.159
76020748575;119314133704438;104662783835321;-14651349869117;192.168.1.159
77021010257;119315133966120;104663784091807;-14651349874313;192.168.1.159
78021288273;119316134244136;104664784364814;-14651349879322;192.168.1.159
79021538580;119317134494443;104665784619134;-14651349875309;192.168.1.159
