time;TSrock;TSrasp;offset;device
292;2358706161020251;38490321523107;-2320215839497144;192.168.1.175
1001189614;2358707162209573;38491321879750;-2320215840329823;192.168.1.175
2001425189;2358708162445148;38492322101523;-2320215840343625;192.168.1.175
3001638305;2358709162658264;38493322316870;-2320215840341394;192.168.1.175
4001852588;2358710162872547;38494322530642;-2320215840341905;192.168.1.175
5002067746;2358711163087705;38495322747173;-2320215840340532;192.168.1.175
6002283779;2358712163303738;38496322964481;-2320215840339257;192.168.1.175
7002500395;2358713163520354;38497323177529;-2320215840342825;192.168.1.175
8002712053;2358714163732012;38498323389745;-2320215840342267;192.168.1.175
9002923128;2358715163943087;38499323609143;-2320215840333944;192.168.1.175
10003144702;2358716164164661;38500323830281;-2320215840334380;192.168.1.175
11003363069;2358717164383028;38501324045477;-2320215840337551;192.168.1.175
12003577935;2358718164597894;38502324261782;-2320215840336112;192.168.1.175
13003793968;2358719164813927;38503324479623;-2320215840334304;192.168.1.175
14004012042;2358720165032001;38504324697372;-2320215840334629;192.168.1.175
15004227492;2358721165247451;38505324912749;-2320215840334702;192.168.1.175
16004442358;2358722165462317;38506325129070;-2320215840333247;192.168.1.175
17004658391;2358723165678350;38507325344336;-2320215840334014;192.168.1.175
18004873258;2358724165893217;38508325559563;-2320215840333654;192.168.1.175
19005087541;2358725166107500;38509325776495;-2320215840331005;192.168.1.175
20005304448;2358726166324407;38510325990850;-2320215840333557;192.168.1.175
21005517565;2358727166537524;38511326206020;-2320215840331504;192.168.1.175
22005732431;2358728166752390;38512326420375;-2320215840332015;192.168.1.175
23005946422;2358729166966381;38513326638916;-2320215840327465;192.168.1.175
24006165080;2358730167185039;38514326855158;-2320215840329881;192.168.1.175
25006379947;2358731167399906;38515327069994;-2320215840329912;192.168.1.175
26006595396;2358732167615355;38516327287533;-2320215840327822;192.168.1.175
27006814054;2358733167834013;38517327521329;-2320215840312684;192.168.1.175
28007059545;2358734168079504;38518327750199;-2320215840329305;192.168.1.175
29007275578;2358735168295537;38519327964570;-2320215840330967;192.168.1.175
30007486944;2358736168506903;38520328177032;-2320215840329871;192.168.1.175
31007698311;2358737168718270;38521328391364;-2320215840326906;192.168.1.175
32007914052;2358738168934011;38522328607085;-2320215840326926;192.168.1.175
33008128335;2358739169148294;38523328821213;-2320215840327081;192.168.1.175
34008343785;2358740169363744;38524329035320;-2320215840328424;192.168.1.175
35008556609;2358741169576568;38525329256076;-2320215840320492;192.168.1.175
36008776434;2358742169796393;38526329475221;-2320215840321172;192.168.1.175
37008994509;2358743170014468;38527329691496;-2320215840322972;192.168.1.175
38009211417;2358744170231376;38528329908731;-2320215840322645;192.168.1.175
39009428324;2358745170448283;38529330128114;-2320215840320169;192.168.1.175
40009647274;2358746170667233;38530330345128;-2320215840322105;192.168.1.175
41009862724;2358747170882683;38531330560733;-2320215840321950;192.168.1.175
42010079632;2358748171099591;38532330778114;-2320215840321477;192.168.1.175
43010297415;2358749171317374;38533331000237;-2320215840317137;192.168.1.175
44010521322;2358750171541281;38534331221210;-2320215840320071;192.168.1.175
45010736772;2358751171756731;38535331438999;-2320215840317732;192.168.1.175
46010955430;2358752171975389;38536331655971;-2320215840319418;192.168.1.175
47011174672;2358753172194631;38537331875146;-2320215840319485;192.168.1.175
48011389246;2358754172409205;38538332090230;-2320215840318975;192.168.1.175
49011604696;2358755172624655;38539332308535;-2320215840316120;192.168.1.175
50011822478;2358756172842437;38540332524876;-2320215840317561;192.168.1.175
51012037053;2358757173057012;38541332739346;-2320215840317666;192.168.1.175
52012252211;2358758173272170;38542332956075;-2320215840316095;192.168.1.175
53012467369;2358759173487328;38543333171378;-2320215840315950;192.168.1.175
54012697985;2358760173717944;38544333402717;-2320215840315227;192.168.1.175
55012973810;2358761173993769;38545333677926;-2320215840315843;192.168.1.175
56013190426;2358762174210385;38546333893689;-2320215840316696;192.168.1.175
57013402959;2358763174422918;38547334109213;-2320215840313705;192.168.1.175
58013619575;2358764174639534;38548334327921;-2320215840311613;192.168.1.175
59013837358;2358765174857317;38549334541055;-2320215840316262;192.168.1.175
60014049016;2358766175068975;38550334756427;-2320215840312548;192.168.1.175
61014264757;2358767175284716;38551334977856;-2320215840306860;192.168.1.175
62014484874;2358768175504833;38552335194394;-2320215840310439;192.168.1.175
63014700615;2358769175720574;38553335410563;-2320215840310011;192.168.1.175
64014920731;2358770175940690;38554335634305;-2320215840306385;192.168.1.175
65015146973;2358771176166932;38555335857527;-2320215840309405;192.168.1.175
66015364756;2358772176384715;38556336075399;-2320215840309316;192.168.1.175
67015579038;2358773176598997;38557336291751;-2320215840307246;192.168.1.175
68015797113;2358774176817072;38558336508100;-2320215840308972;192.168.1.175
69016012563;2358775177032522;38559336724507;-2320215840308015;192.168.1.175
70016228887;2358776177248846;38560336941801;-2320215840307045;192.168.1.175
71016443754;2358777177463713;38561337158467;-2320215840305246;192.168.1.175
72016661828;2358778177681787;38562337375352;-2320215840306435;192.168.1.175
73016875528;2358779177895487;38563337591424;-2320215840304063;192.168.1.175
74017094769;2358780178114728;38564337809586;-2320215840305142;192.168.1.175
75017315469;2358781178335428;38565338039397;-2320215840296031;192.168.1.175
76017564168;2358782178584127;38566338280873;-2320215840303254;192.168.1.175
77017782243;2358783178802202;38567338504461;-2320215840297741;192.168.1.175
78018011693;2358784179031652;38568338729382;-2320215840302270;192.168.1.175
79018230642;2358785179250601;38569338948821;-2320215840301780;192.168.1.175
80018448717;2358786179468676;38570339166703;-2320215840301973;192.168.1.175
81018665625;2358787179685584;38571339384714;-2320215840300870;192.168.1.175
82018883699;2358788179903658;38572339599948;-2320215840303710;192.168.1.175
83019098566;2358789180118525;38573339818477;-2320215840300048;192.168.1.175
84019317515;2358790180337474;38574340039265;-2320215840298209;192.168.1.175
85019537923;2358791180557882;38575340259073;-2320215840298809;192.168.1.175
86019760956;2358792180780915;38576340477248;-2320215840303667;192.168.1.175
87019973197;2358793180993156;38577340698518;-2320215840294638;192.168.1.175
88020195064;2358794181215023;38578340918896;-2320215840296127;192.168.1.175
89020413430;2358795181433389;38579341135996;-2320215840297393;192.168.1.175
90020631505;2358796181651464;38580341353817;-2320215840297647;192.168.1.175
91020846079;2358797181866038;38581341569530;-2320215840296508;192.168.1.175
92021062987;2358798182082946;38582341790165;-2320215840292781;192.168.1.175
93021282520;2358799182302479;38583342006968;-2320215840295511;192.168.1.175
94021501178;2358800182521137;38584342225808;-2320215840295329;192.168.1.175
95021717503;2358801182737462;38585342441978;-2320215840295484;192.168.1.175
96021934994;2358802182954953;38586342659465;-2320215840295488;192.168.1.175
97022148402;2358803183168361;38587342876469;-2320215840291892;192.168.1.175
98022367060;2358804183387019;38588343093400;-2320215840293619;192.168.1.175
99022581926;2358805183601885;38589343307719;-2320215840294166;192.168.1.175
100022797959;2358806183817918;38590343525629;-2320215840292289;192.168.1.175
101023013117;2358807184033076;38591343742354;-2320215840290722;192.168.1.175
102023231483;2358808184251442;38592343958393;-2320215840293049;192.168.1.175
103023446933;2358809184466892;38593344177191;-2320215840289701;192.168.1.175
104023667049;2358810184687008;38594344395674;-2320215840291334;192.168.1.175
105023885124;2358811184905083;38595344618100;-2320215840286983;192.168.1.175
106024110198;2358812185130157;38596344840860;-2320215840289297;192.168.1.175
107024326815;2358813185346774;38597345053787;-2320215840292987;192.168.1.175
108024582514;2358814185602473;38598345312175;-2320215840290298;192.168.1.175
109024797672;2358815185817631;38599345528748;-2320215840288883;192.168.1.175
110025014872;2358816186034831;38600345748098;-2320215840286733;192.168.1.175
111025233530;2358817186253489;38601345964522;-2320215840288967;192.168.1.175
112025452188;2358818186472147;38602346185186;-2320215840286961;192.168.1.175
113025669679;2358819186689638;38603346407906;-2320215840281732;192.168.1.175
114025894754;2358820186914713;38604346630330;-2320215840284383;192.168.1.175
115026112245;2358821187132204;38605346847920;-2320215840284284;192.168.1.175
116026331778;2358822187351737;38606347066268;-2320215840285469;192.168.1.175
117026547810;2358823187567769;38607347282856;-2320215840284913;192.168.1.175
118026764135;2358824187784094;38608347500406;-2320215840283688;192.168.1.175
119026988043;2358825188008002;38609347724123;-2320215840283879;192.168.1.175
120027204951;2358826188224910;38610347940822;-2320215840284088;192.168.1.175
121027420693;2358827188440652;38611348158167;-2320215840282485;192.168.1.175
122027638767;2358828188658726;38612348375791;-2320215840282935;192.168.1.175
123027852467;2358829188872426;38613348591821;-2320215840280605;192.168.1.175
124028071125;2358830189091084;38614348809240;-2320215840281844;192.168.1.175
125028285991;2358831189305950;38615349023953;-2320215840281997;192.168.1.175
126028502315;2358832189522274;38616349241094;-2320215840281180;192.168.1.175
127028716598;2358833189736557;38617349457401;-2320215840279156;192.168.1.175
128028934965;2358834189954924;38618349675003;-2320215840279921;192.168.1.175
129029149831;2358835190169790;38619349889771;-2320215840280019;192.168.1.175
130029366156;2358836190386115;38620350106817;-2320215840279298;192.168.1.175
131029582189;2358837190602148;38621350322955;-2320215840279193;192.168.1.175
132029798805;2358838190818764;38622350540796;-2320215840277968;192.168.1.175
133030013088;2358839191033047;38623350753174;-2320215840279873;192.168.1.175
134030227371;2358840191247330;38624350967515;-2320215840279815;192.168.1.175
135030438445;2358841191458404;38625351177539;-2320215840280865;192.168.1.175
