time;TSrock;TSrasp;offset;device
1167;119238116558228;104618168585438;-14619947972790;192.168.1.154
1001283680;119239117840741;104619169160216;-14619948680525;192.168.1.154
2001658820;119240118215881;104620169525533;-14619948690348;192.168.1.154
3002017919;119241118574980;104621169882870;-14619948692110;192.168.1.154
4002374976;119242118932037;104622170214577;-14619948717460;192.168.1.154
5002713659;119243119270720;104623170543561;-14619948727159;192.168.1.154
6003047966;119244119605027;104624170896749;-14619948708278;192.168.1.154
7003406773;119245119963834;104625171250789;-14619948713045;192.168.1.154
8003754497;119246120311558;104626171594181;-14619948717377;192.168.1.154
9004091721;119247120648782;104627171931590;-14619948717192;192.168.1.154
10004427195;119248120984256;104628172267185;-14619948717071;192.168.1.154
11004762961;119249121320022;104629172603985;-14619948716037;192.168.1.154
12005099601;119250121656662;104630172942617;-14619948714045;192.168.1.154
13005437409;119251121994470;104631173272193;-14619948722277;192.168.1.154
14005765883;119252122322944;104632173597233;-14619948725711;192.168.1.154
15006088814;119253122645875;104633173939661;-14619948706214;192.168.1.154
16006428663;119254122985724;104634174272145;-14619948713579;192.168.1.154
17006759763;119255123316824;104635174604796;-14619948712028;192.168.1.154
18007092320;119256123649381;104636174937445;-14619948711936;192.168.1.154
19007426336;119257123983397;104637175292355;-14619948691042;192.168.1.154
20007781643;119258124338704;104638175617487;-14619948721217;192.168.1.154
21008101658;119259124658719;104639175947138;-14619948711581;192.168.1.154
22008429841;119260124986902;104640176277640;-14619948709262;192.168.1.154
23008761232;119261125318293;104641176608976;-14619948709317;192.168.1.154
24009092039;119262125649100;104642176940107;-14619948708993;192.168.1.154
25009425763;119263125982824;104643177273443;-14619948709381;192.168.1.154
26009758903;119264126315964;104644177609962;-14619948706002;192.168.1.154
27010096419;119265126653480;104645177945965;-14619948707515;192.168.1.154
28010429560;119266126986621;104646178280114;-14619948706507;192.168.1.154
29010763867;119267127320928;104647178614357;-14619948706571;192.168.1.154
30011097299;119268127654360;104648178949840;-14619948704520;192.168.1.154
31011434231;119269127991292;104649179314619;-14619948676673;192.168.1.154
32011794789;119270128351850;104650179637880;-14619948713970;192.168.1.154
33012117721;119271128674782;104651179970862;-14619948703920;192.168.1.154
34012449403;119272129006464;104652180303198;-14619948703266;192.168.1.154
35012781086;119273129338147;104653180634255;-14619948703892;192.168.1.154
36013111310;119274129668371;104654180964442;-14619948703929;192.168.1.154
37013440075;119275129997136;104655181295368;-14619948701768;192.168.1.154
38013770883;119276130327944;104656181626407;-14619948701537;192.168.1.154
39014106357;119277130663418;104657181973760;-14619948689658;192.168.1.154
40014475080;119278131032141;104658182321909;-14619948710232;192.168.1.154
41014802388;119279131359449;104659182668151;-14619948691298;192.168.1.154
42015146611;119280131703672;104660183003910;-14619948699762;192.168.1.154
43015477127;119281132034188;104661183337634;-14619948696554;192.168.1.154
44015811143;119282132368204;104662183677542;-14619948690662;192.168.1.154
45016154784;119283132711845;104663184005321;-14619948706524;192.168.1.154
46016480049;119284133037110;104664184329710;-14619948707400;192.168.1.154
47016801523;119285133358584;104665184662064;-14619948696520;192.168.1.154
48017132622;119286133689683;104666184994046;-14619948695637;192.168.1.154
49017463138;119287134020199;104667185324843;-14619948695356;192.168.1.154
50017795986;119288134353047;104668185658084;-14619948694963;192.168.1.154
51018128252;119289134685313;104669185990918;-14619948694395;192.168.1.154
52018459935;119290135016996;104670186324751;-14619948692245;192.168.1.154
53018793659;119291135350720;104671186657178;-14619948693542;192.168.1.154
54019132048;119292135689109;104672186995567;-14619948693542;192.168.1.154
55019470148;119293136027209;104673187333957;-14619948693252;192.168.1.154
56019992288;119294136549349;104674187863713;-14619948685636;192.168.1.154
57020339429;119295136896490;104675188197510;-14619948698980;192.168.1.154
58020668778;119296137225839;104676188537380;-14619948688459;192.168.1.154
59021001626;119297137558687;104677188868548;-14619948690139;192.168.1.154
60021329809;119298137886870;104678189196936;-14619948689934;192.168.1.154
61021658283;119299138215344;104679189526399;-14619948688945;192.168.1.154
62021987632;119300138544693;104680189856492;-14619948688201;192.168.1.154
63022318439;119301138875500;104681190187547;-14619948687953;192.168.1.154
64022647788;119302139204849;104682190517677;-14619948687172;192.168.1.154
65022976554;119303139533615;104683190838510;-14619948695105;192.168.1.154
66023298903;119304139855964;104684191158455;-14619948697509;192.168.1.154
67023643418;119305140200479;104685191501806;-14619948698673;192.168.1.154
68023964892;119306140521953;104686191837474;-14619948684479;192.168.1.154
69024295116;119307140852177;104687192168640;-14619948683537;192.168.1.154
70024625924;119308141182985;104688192499176;-14619948683809;192.168.1.154
71024955856;119309141512917;104689192829728;-14619948683189;192.168.1.154
72025286080;119310141843141;104690193150561;-14619948692580;192.168.1.154
73025607554;119311142164615;104691193471080;-14619948693535;192.168.1.154
74025926695;119312142483756;104692193805246;-14619948678510;192.168.1.154
75026262168;119313142819229;104693194138005;-14619948681224;192.168.1.154
76026592684;119314143149745;104694194469319;-14619948680426;192.168.1.154
77026923783;119315143480844;104695194799745;-14619948681099;192.168.1.154
78027257799;119316143814860;104696195144281;-14619948670579;192.168.1.154
79027619231;119317144176292;104697195499372;-14619948676920;192.168.1.154
80027967538;119318144524599;104698195868871;-14619948655728;192.168.1.154
81028351720;119319144908781;104699196231555;-14619948677226;192.168.1.154
82028689236;119320145246297;104700196570684;-14619948675613;192.168.1.154
83029027627;119321145584688;104701196909609;-14619948675079;192.168.1.154
84029361059;119322145918120;104702197231996;-14619948686124;192.168.1.154
85029682241;119323146239302;104703197563106;-14619948676196;192.168.1.154
86030011298;119324146568359;104704197892790;-14619948675569;192.168.1.154
87030344439;119325146901500;104705198225900;-14619948675600;192.168.1.154
88030673788;119326147230849;104706198555602;-14619948675247;192.168.1.154
89031003720;119327147560781;104707198888934;-14619948671847;192.168.1.154
90031335403;119328147892464;104708199218488;-14619948673976;192.168.1.154
91031678752;119329148235813;104709199565709;-14619948670104;192.168.1.154
92032018309;119330148575370;104710199893134;-14619948682236;192.168.1.154
93032343574;119331148900635;104711200219447;-14619948681188;192.168.1.154
94032670007;119332149227068;104712200555668;-14619948671400;192.168.1.154
95033005773;119333149562834;104713200893574;-14619948669260;192.168.1.154
96033342996;119334149900057;104714201230201;-14619948669856;192.168.1.154
97033678470;119335150235531;104715201556847;-14619948678684;192.168.1.154
98034006069;119336150563130;104716201883809;-14619948679321;192.168.1.154
99034326085;119337150883146;104717202203993;-14619948679153;192.168.1.154
100034647851;119338151204912;104718202536454;-14619948668458;192.168.1.154
101034978075;119339151535136;104719202867692;-14619948667444;192.168.1.154
102035308299;119340151865360;104720203198876;-14619948666484;192.168.1.154
103035662439;119341152219500;104721203553966;-14619948665534;192.168.1.154
104035997913;119342152554974;104722203891668;-14619948663306;192.168.1.154
105036334554;119343152891615;104723204227739;-14619948663876;192.168.1.154
106036672945;119344153230006;104724204560256;-14619948669750;192.168.1.154
107037002877;119345153559938;104725204889791;-14619948670147;192.168.1.154
108037331933;119346153888994;104726205220881;-14619948668113;192.168.1.154
109037660408;119347154217469;104727205544046;-14619948673423;192.168.1.154
110037982173;119348154539234;104728205867080;-14619948672154;192.168.1.154
111038440731;119349154997792;104729206330669;-14619948667123;192.168.1.154
112038772996;119350155330057;104730206663481;-14619948666576;192.168.1.154
113039101470;119351155658531;104731206992164;-14619948666367;192.168.1.154
114039425278;119352155982339;104732207350791;-14619948631548;192.168.1.154
115039789043;119353156346104;104733207680677;-14619948665427;192.168.1.154
116040120142;119354156677203;104734208029600;-14619948647603;192.168.1.154
117040478657;119355157035718;104735208375301;-14619948660417;192.168.1.154
118040813256;119356157370317;104736208705409;-14619948664908;192.168.1.154
119041141730;119357157698791;104737209031611;-14619948667180;192.168.1.154
120041468746;119358158025807;104738209372793;-14619948653014;192.168.1.154
